sponsor_list,MAAPE
Americans for Prosperity,64.8
Newsweek/Daily Beast,64.8
Daily Kos,64.8
Tennessean,64.8
Deseret News,64.8
Arizona State University,64.8
Billings Gazette,64.8
Times Dispatch,64.8
Wilson Research,64.8
Public Opinion Strategies/Fairbank Maslin Maullin Metz Associates,64.8
Portland Tribune,64.8
CT Capitol Report,64.8
Dittman Research,64.8
CN2 News,64.8
Dallas Morning News,64.8
Times Leader,64.8
NBC 10,64.8
Mike Downs Center for Indiana Politics Purdue University,64.8
Minnesota Public Radio,64.8
Aloha Vote,64.8
Newsweek,64.8
The Hill,64.8
TCPalm,64.8
Press Register,64.8
St Petersburg Times,64.8
Team TelCom,64.8
Marshall University,64.8
RNN,64.8
Hamilton Campaigns,64.8
Utah Policy Center,64.8
WFAA/Belo,64.8
Gannett,64.8
American Action Forum,64.8
Harstead Strategy,64.8
Rossman Group,64.8
Riley Research,64.8
GOPAC Texas,64.8
State House News,64.8
TexasWatch Foundation,64.8
Bernard Rappaport,64.8
KY3,64.8
University of Wisconsin,64.8
WSMV,64.8
KCCI,64.8
University of Cincinnati,64.8
Lan Grigsby,64.8
McLaughlin Associates,64.8
Fabrizio Lee Associates,64.8
FireDogLake Blog Poll,64.8
Mellman Group,64.8
Ohio Right to Life,64.8
The Battleground Poll,64.8
Reuters/CSPAN,64.8
Strategic Vision,64.8
Diageo Hotline Poll,64.8
Research 2000,64.8
Concord Monitor,64.8
Politico/InsiderAdvantage,64.8
Indianapolis Star,64.8
Reno Gazette Journal,64.8
Los Angeles Times/Bloomberg News,64.8
Northern Arizona University,64.8
Temple University,64.8
Rocky Mountain News/CBS 4,64.8
Southeastern Louisiana University,64.8
Lycoming College,64.8
Zogby Analytics,64.8
Quad City Times,64.8
Big Ten Battleground Poll,64.8
Ohio Newspaper,64.8
University of Texas,64.8
Orion Strategies,64.8
WSOC,64.8
Alabama Education Association,64.8
Zimmerman Associates,64.8
Hearst Argyle,64.8
South Carolina Educational Television,64.8
University of Connecticut,64.8
North Dakota United Tranportation Union,64.8
Wall Street Journal/Washington Post,64.8
West Chester University,64.8
Michigan Information Research Service,64.8
Telemundo 51,64.8
St Anselm College,64.8
Sacred Heart University,64.8
Ciruli Associates,64.8
Sun Sentinel,64.8
Miami Herald/St Petersburg Times,64.8
VC Research,64.8
Mark Blankenship Enterprises,64.8
Greg Smith Associates,64.8
Kitchens Group Research,64.8
Greenberg Quinlan Rosner,64.8
Benenson Strategy,64.8
Ayres McHenry,64.8
TargetPoint Consulting,64.8
S Media,64.8
Rhode Island College,64.8
Cook Political Report,64.8
Ipsos,64.8
Cooper Secrest Associates,64.8
Dan Jones Associates,64.8
Indiana Legislative Insight,64.8
Los Angeles Times/KTLA,64.8
Hamilton Beattie Staff,64.8
Minnesota Star Tribune,64.8
Public Opinion Strategies/Greenberg Quinlan Rosner,64.8
WNBC,64.8
Dakota Wesleyan University,64.8
University of Central Arkansas,64.8
Selzer Company,64.8
OnPoint,64.8
Global Strategy Group,64.8
Garin Hart Yang,64.8
AZ Daily Star,64.8
Opinion Consultants,64.8
Penn Schoen Berland,64.8
Keystone Poll,64.8
Inside Tucson Business,64.8
University of Minnesota,64.8
Polimetrix,64.8
RT Strategies/Constituent Dynamics,64.8
Anzalone Liszt Grove Research,64.8
Grove Insight,64.8
Bennett Petts Normington,64.8
Aspen Times,64.8
Clemson University,64.8
Press Gazette,64.8
Myers Research Strategic Services,64.8
Daily Herald,64.8
Lake Research,64.8
Abacus Data Polling,64.8
Cromer Associates,64.8
Constituent Dynamics,64.8
Goodwin Simon,64.8
CRG Research,64.8
Fleming Associates,64.8
Indiana State University,64.8
Tarrance Group,64.8
Momentum Analysis,64.8
Basswood Research,64.8
Mercury Public Affairs,64.8
The Harris Poll,64.8
Infomark Research,64.8
University of Southern Alabama,64.8
American Viewpoint,64.8
Opinion Analysts,64.8
San Jose State University,64.8
University of Akron,64.8
Westhill Consulting,64.8
Badger Institute,64.8
Feldman Group,64.8
Issues Pennsylvania,64.8
Datamar Analytics,64.8
Chicago Tribune/WGN,64.8
Birmingham News,64.8
Victory Enterprises,64.8
Portland Research Group,64.8
Voter Consumer Research,64.8
Strategic Marketing Services,64.8
University of Tennessee,64.8
Hart Research,64.8
Mansfield University,64.8
CNN/USA Today,64.8
Blum Weprin Associates,64.8
TechnoMetric  Institute of Policy Politics,64.8
Market Research Insight,64.8
Star Ledger,64.8
Cleveland Plain Dealer,64.8
Plain Dealer,64.8
Wall Street Journal,64.8
Fairleigh Dickinson University PublicMind,64.8
Oregonian/KATU,64.8
Rocky Mountain News,64.8
Badger Poll,64.8
Social Science Research Solutions,64.8
KC Star,64.8
Bluegrass Poll Lexington Herald Leader/Courier Journal/WKYT TV/WHAS TV,64.8
Muhlenberg College,64.8
KAET,64.8
Franklin Pierce College,64.8
Scripps Company,64.8
University of North Carolina Ashville,64.8
John Locke Foundation,64.8
Arkansas News,64.8
SMS,64.8
RKM Research,64.8
Knox News,64.8
Las Vegas Sun,64.8
Consumer Logic Research,64.8
HHI,64.8
Central Surveys,64.8
WDAY,64.8
Texas Tech University,64.8
KTUU,64.8
WAFB 9 News,64.8
Capital Survey Research Center,64.8
Lake Snell Perry,64.8
Merrimack College,64.8
WHYY,64.8
Mobile Register,64.8
Free Press,64.8
MPR News,64.8
Harrison Hickman,64.8
Miami Herald,64.8
Indiana Manufacturing Association,64.8
Democratic Senatorial Campaign Committee,64.8
Star Bulletin,64.8
National Republican Senatorial Committee,64.8
Sayfie Review/InsiderAdvantage,64.8
KOTV,64.8
Becker Institue,64.8
Hayride,64.8
Oklahoman,64.8
KGWTV,64.8
Granite State Poll,64.8
Creators Syndicate,64.8
Arkansas State University,64.8
Oregon State University,64.8
Tampa Tribune,64.8
BP&B,64.8
Harris Deville Associates,64.8
St Paul Pioneer Press,64.8
Minneapolis Star,64.8
Denver Post/9 News,64.8
University of Alabama Birmingham,64.8
Carolina Poll,64.8
Gainesville Sun,64.8
WNDS,64.8
Honolulu Star Advertiser/News 8,64.8
Atlanta Journal Constitution/WSB TV,64.8
Scripps Howard Foundation,64.8
University of Maryland,64.8
NECN,64.8
NBC 5,64.8
Orlando Sentinel,64.8
USA Polling Group,64.8
Honolulu Star Advertiser/KITV 4 News,64.8
Ward Research,64.8
KRC Communications Research,64.8
Illinois Wesleyan University,64.8
Ethridge Associates,64.8
Gonzales Research/Arscott Research Communications,64.8
WHOTV,64.8
Wirthlin Worldwide,64.8
Tarrance Group/Lake Snell Perry Associates,64.8
Reuters/MSNBC,64.8
Hotline Bullseye Poll,64.8
Washington Post/Kaiser Family Foundation,64.8
Emilys List,64.8
StrategyOne,64.8
Handgun Control Poll,64.8
National Public Radio/Kaiser Family Foundation/Kennedy School of Government,64.8
Fabrizio Lee Associates/McLaughlin Associates,64.8
Grinnell College,65.1
Davis Hibbitts Midghall Research,65.3
Fox 13,65.3
Vox Populi Polling,65.3
Talk Business and Politics,65.4
Tampa Bay Times/News 9/News 13,65.5
Nevada Independent,65.5
CNN,65.7
KCTS 9,65.8
Atlanta Journal Constitution,65.9
Siena College,66.6
University of New Orleans,66.6
American Research Group,66.8
University of Delaware,66.9
University of Nevada Las Vegas,67
NBC News/Wall Street Journal,67.3
Southern Media and Opinion Research,67.6
Target Insyght,67.7
USA Today,67.7
Bangor Daily News,67.9
NBC News,68.8
University of Massachusetts Lowell,68.9
WFAA,69
KOBT,69.2
CBS News,69.2
Suffolk University,69.4
Gonzales Research,69.7
Wenzel Strategies,69.8
WISHTV,70.2
Marist College,70.4
Harper Polling,70.5
Michigan Information Research Service/Governmental Consultant Services Inc,70.9
Ohio Newspapers,71.5
Elway Poll,71.7
CBS 11,72.4
New York Times,73.3
Nielson Brothers Polling,73.4
Austin American Statesman,73.4
New York Times/Kaiser Family Foundation,73.6
American Future Fund,73.6
Keating Research,73.7
WXIA,73.7
Star Tribune,73.8
Hearst Media Group,73.9
Rocky Mountain PBS,74.2
KOMO News,74.4
Richard Stockton College,74.6
New England College,74.7
Alaska Dispatch,74.7
National Journal,74.8
Missouri Scout,74.8
Detroit News/WDIV,74.8
Remington Research,74.9
Tribune Review,75.1
Alaska Survey Research,75.2
Quinnipiac University,75.3
WBUR,75.9
Vanguard Public Affairs/Denno Research,76
Fox News,76.3
WFB,76.5
KGTV,76.6
Boston Herald,76.8
Public Opinion Strategies,76.9
Texas Tribune,77
OH Predictive Insights,77.1
ABC News/Washington Post,77.5
Mason Dixon,77.8
Marketing Resource Group,77.9
Clout Research,77.9
Franklin Marshall College,78.1
CBS News/New York Times,78.4
Palmetto Politics Poll,78.4
Florida Times Union/InsiderAdvantage,78.5
WOIO,79.1
Loras College,79.3
Red Racing Hourse Elections,79.3
GW Battleground Poll,79.5
Tampa Bay Times,80.2
Portland Press Herald,80.3
WMUR,80.4
Christopher Newport University,80.9
We Ask America,81
St Louis Post Dispatch,81.1
Mercyhurst University,81.3
Stanford University,81.7
EPIC MRA,81.8
Civitas Institute,82.9
WTHR/Howey Politics Indiana,83.1
University of Mary Washington,84
Columbus Dispatch,84.1
OnSight Public Affairs/Keating Research,84.1
Gravis Marketing,84.8
Stockton University,85.5
Sooner Poll,86
Sunshine State News,86.3
Post Dispatch,86.6
Morning Call,86.7
News Journal,87
Salt Lake Tribune,87.5
Washington Post,87.7
Texas Lyceum,87.8
Howey Politics Indiana,88
Gallup,88
Dixie Strategies,88.7
University of California Berkeley,89.4
Utah Policy,89.5
WRAL,89.6
Critical Insights,90.1
Public Policy Institute of California,90.1
Fox 2 Detroit,90.3
National Public Radio,90.8
Trafalgar Group,91.1
Fox 5 Atlanta,91.4
Western New England University,91.8
Harvard University,92.1
WBZ,92.6
MetroNews,92.6
Foster McCollum White Associates/Baydoun Consulting,93.4
Colby College,94
Rasmussen,94.1
ABC 15,94.4
Maine Peoples Resource Center,94.9
News 8 NOW Las Vegas,95
National Public Radio/PBS,95.1
National Public Radio/Democracy Corps/Resurgent Republic,95.3
WWL TV,95.6
KATU,95.8
Idaho Politics Weekly,95.9
Indy Politics,96
Keating Research/Magellan Strategies Polling,96.1
Landmark Communication/Rosetta Stone Communications,96.7
Goucher College,98.2
CNBC,98.2
CNN/WMUR,98.3
Oregon Public Broadcasting,98.4
St Cloud State University,98.5
HarrisX,98.8
Emerson College Poll,99.3
Roanoke College,99.5
McClatchy,100.6
Oregonian,100.8
SurveyUSA,100.9
JMC Analytics,101.1
WPAi,101.9
KSTP,102.2
NBC Valley News,102.3
Des Moines Register,103
Winthrop University,104.5
WRBL/Ledger Enquirer/PMB Broadcasting,106
Public Policy Polling,106.3
St Pete Poll,108.7
Middle Tennessee State University,109.2
American Federation for Children,109.6
Time,109.9
Hampton University,110.9
Moore Information Group,111.5
KELOLAND Media Group,111.9
Detroit Free Press,112.1
Thomas Partner Strategies,114
Bloomberg News,114.6
WSAZ,115.4
University of North Florida,116.4
University of Iowa,116.6
Opinion Savvy,117.6
ZiaPoll,117.7
Y2 Analytics,118.3
Reuters,118.6
WAFB/Fox 8/Raycom,118.9
Pan Atlantic SMS Group,119.1
Lambert Edwards Associates/Denno Research,120.1
KTNV,120.8
ABC 30,125.7
Vanderbilt University,126.3
Bay News 9,128.3
WSB TV,130
Baltimore Sun,130.3
Virginia Commonwealth University,132
Landmark Communication,135.3
Vermont Public Radio,135.5
WCTV,138
KHOU/Houston Public Broadcasting,139.2
Paul Simon Public Policy Institute,141.8
Montana State University,142
Heat Street,142.2
Omaha World Herald,142.5
New York Times/Kaiser,142.7
Florida Atlantic University,144.9
Magellan Strategies,147.9
Florida Chamber of Commerce,148
Providence Journal/WPRI,148.4
NBC 4 NY,148.6
Fox Business,149.4
Elon University,150.1
News 13,151.2
Detroit News,151.4
Dartmouth College,151.6
Susquehanna Polling Research,152.3
Behavior Research Center,152.3
TEGNA Inc,152.3
Pew Research,152.4
WHEC,152.6
OpinionWorks,153
Associated Press,153.2
Purple Strategies,153.5
InsiderAdvantage,153.6
KUTV,154.1
Independent Womens Voice,154.2
